東広島駅,広島県東広島市三永１丁目４−２４,34.3893015,132.759701
広島駅,広島市南区松原町,34.397667,132.4753786
新岩国駅,山口県岩国市御庄１０５５−１,34.1646553,132.149373
徳山駅,山口県周南市御幸通り２丁目２８,34.0511516,131.8029339
新山口駅,山口県山口市小郡令和１丁目２−１,34.0936917,131.3963647
厚狭駅,山口県山陽小野田市厚狭沖田8-3,34.054049,131.160592
新下関駅,山口県下関市秋根南町１丁目１１−１,34.0069198,130.949042
小倉駅,福岡県北九州市小倉北区浅野１丁目１−１,33.8869679,130.8825758
博多駅,福岡県福岡市博多区博多駅中央街１−１,33.5897275,130.4207274
新鳥栖駅,佐賀県鳥栖市原古賀町302−2,33.3704075,130.4911212
久留米駅,福岡県久留米市城南町２－２１,33.3204732,130.5012836
筑後船小屋駅,福岡県筑後市津島東1088-2,33.1777121,130.4923998
新大牟田駅,福岡県大牟田市大字岩本２５０９－３,33.0713517,130.4887338
新玉名駅,熊本県玉名市玉名１２２９－３,32.9425251,130.5735944
熊本駅,熊本県熊本市西区春日,32.7901933,130.6899154
新八代駅,熊本県八代市上日置町,32.5177683,130.6349851
新水俣駅,熊本県水俣市初野３０５,32.2105722,130.4286011
出水駅,鹿児島県出水市上鯖淵,32.0896143,130.3581981
川内駅,鹿児島県薩摩川内市鳥追町１−１,31.8137159,130.3122368
鹿児島中央駅,鹿児島県鹿児島市中央町１−１,31.5836893,130.5417154
武雄温泉駅,佐賀県武雄市武雄町昭和１７,33.1963548,130.0231915
嬉野温泉駅,佐賀県嬉野市嬉野町大字下宿乙２２０２−５５,33.0962107,129.9816044
新大村駅,長崎県大村市植松３丁目,32.9330213,129.9571346
諫早駅,長崎県諫早市永昌町１,32.8520377,130.0411581
長崎駅,長崎県長崎市尾上町１,32.7523027,129.8689485
旭川駅,北海道旭川市宮下通８丁目３,43.7627619,142.3585105
旭川四条駅,北海道旭川市４条通１７丁目,43.7642006,142.3759503
新旭川駅,北海道旭川市東８条６丁目４,43.77985,142.3844972
永山駅,北海道旭川市永山1条19丁目,43.814193,142.434385
北永山駅,北海道旭川市永山町１４丁目,43.8268971,142.4548139
比布駅,北海道上川郡比布町西町２丁目６,43.8749275,142.4716025
蘭留駅,北海道上川郡比布町北９線,43.9250715,142.4735345
塩狩駅,北海道上川郡和寒町塩狩,43.9678704,142.454683
和寒駅,北海道上川郡和寒町南町,44.0269098,142.4154538
剣淵駅,北海道上川郡剣淵町仲町２,44.0964763,142.3644563
士別駅,北海道士別市西３条８丁目,44.1725451,142.3882914
多寄駅,北海道士別市多寄町,44.2406494,142.3963044
瑞穂駅,北海道士別市多寄町,44.2663941,142.3962236
風連駅,北海道名寄市風連町本町,44.2922454,142.4213752
名寄高校駅,北海道名寄市徳田,44.3309826,142.4653785
名寄駅,北海道名寄市東１条南６丁目,44.3494084,142.4652507
日進駅,北海道名寄市日進,44.381549,142.467478
智恵文駅,北海道名寄市智恵文,44.4554832,142.4147182
智北駅,北海道名寄市智恵文,44.4613069,142.3955614
美深駅,北海道中川郡美深町開運町,44.4829648,142.3503895
天塩川温泉駅,北海道中川郡音威子府村咲来,44.6646908,142.2586097
